Time (s),Illuminance (lux),Timestamp,Condition
0.092,3.3,2026-01-12 00:35:56.967,Transition
0.19,3.3,2026-01-12 00:35:57.065,Transition
0.29,3.3,2026-01-12 00:35:57.165,Transition
0.391,3.3,2026-01-12 00:35:57.266,Transition
0.488,3.3,2026-01-12 00:35:57.363,Transition
0.59,3.3,2026-01-12 00:35:57.465,Transition
0.687,3.3,2026-01-12 00:35:57.562,Transition
0.788,3.3,2026-01-12 00:35:57.663,Transition
0.889,3.3,2026-01-12 00:35:57.764,Transition
0.988,3.3,2026-01-12 00:35:57.863,Transition
1.09,3.3,2026-01-12 00:35:57.965,Transition
1.188,3.3,2026-01-12 00:35:58.063,Transition
1.29,3.3,2026-01-12 00:35:58.165,Transition
1.389,3.3,2026-01-12 00:35:58.264,Transition
1.49,3.3,2026-01-12 00:35:58.365,Transition
1.59,3.3,2026-01-12 00:35:58.465,Transition
1.687,3.47,2026-01-12 00:35:58.562,Transition
1.789,3.54,2026-01-12 00:35:58.664,Transition
1.889,3.54,2026-01-12 00:35:58.764,Transition
1.989,3.54,2026-01-12 00:35:58.864,Transition
2.089,3.54,2026-01-12 00:35:58.964,Transition
2.187,3.54,2026-01-12 00:35:59.062,Transition
2.29,3.54,2026-01-12 00:35:59.165,Transition
2.391,3.54,2026-01-12 00:35:59.266,Transition
2.492,3.47,2026-01-12 00:35:59.367,Transition
2.591,3.47,2026-01-12 00:35:59.466,Transition
2.688,3.47,2026-01-12 00:35:59.563,Transition
2.789,3.9,2026-01-12 00:35:59.664,Transition
2.889,3.9,2026-01-12 00:35:59.764,Transition
2.987,3.9,2026-01-12 00:35:59.862,Transition
3.091,3.9,2026-01-12 00:35:59.966,Transition
3.188,3.9,2026-01-12 00:36:00.063,Transition
3.289,3.9,2026-01-12 00:36:00.164,Transition
3.391,3.9,2026-01-12 00:36:00.266,Transition
3.487,3.9,2026-01-12 00:36:00.362,Transition
3.589,3.9,2026-01-12 00:36:00.464,Transition
3.689,3.9,2026-01-12 00:36:00.564,Transition
3.787,3.9,2026-01-12 00:36:00.662,Transition
3.889,3.9,2026-01-12 00:36:00.764,Transition
3.987,3.9,2026-01-12 00:36:00.862,Transition
4.088,3.9,2026-01-12 00:36:00.963,Transition
4.187,3.9,2026-01-12 00:36:01.062,Transition
4.286,3.9,2026-01-12 00:36:01.161,Transition
4.391,3.9,2026-01-12 00:36:01.266,Transition
4.487,3.9,2026-01-12 00:36:01.362,Transition
4.589,3.9,2026-01-12 00:36:01.464,Transition
4.688,3.71,2026-01-12 00:36:01.563,Transition
4.784,3.71,2026-01-12 00:36:01.659,Transition
4.887,3.71,2026-01-12 00:36:01.762,Transition
4.986,3.71,2026-01-12 00:36:01.861,Transition
5.089,3.71,2026-01-12 00:36:01.964,Transition
5.187,3.3,2026-01-12 00:36:02.062,Transition
5.29,3.37,2026-01-12 00:36:02.165,Transition
5.387,3.3,2026-01-12 00:36:02.262,Transition
5.489,3.3,2026-01-12 00:36:02.364,Transition
5.59,3.3,2026-01-12 00:36:02.465,Transition
5.69,3.3,2026-01-12 00:36:02.565,Transition
5.791,3.3,2026-01-12 00:36:02.666,Transition
5.888,3.37,2026-01-12 00:36:02.763,Transition
5.986,3.37,2026-01-12 00:36:02.861,Transition
6.087,3.3,2026-01-12 00:36:02.962,Transition
6.188,3.3,2026-01-12 00:36:03.063,Transition
6.29,3.3,2026-01-12 00:36:03.165,Transition
6.39,3.37,2026-01-12 00:36:03.265,Transition
6.491,3.3,2026-01-12 00:36:03.366,Transition
6.591,3.3,2026-01-12 00:36:03.466,Transition
6.688,3.3,2026-01-12 00:36:03.563,Transition
6.788,3.37,2026-01-12 00:36:03.663,Transition
6.889,3.71,2026-01-12 00:36:03.764,Transition
6.988,3.71,2026-01-12 00:36:03.863,Transition
7.087,3.37,2026-01-12 00:36:03.962,Transition
7.187,3.71,2026-01-12 00:36:04.062,Transition
7.29,3.71,2026-01-12 00:36:04.165,Transition
7.386,3.71,2026-01-12 00:36:04.261,Transition
7.488,3.71,2026-01-12 00:36:04.363,Transition
7.59,3.71,2026-01-12 00:36:04.465,Transition
7.69,3.71,2026-01-12 00:36:04.565,Transition
7.79,3.71,2026-01-12 00:36:04.665,Transition
7.882,3.71,2026-01-12 00:36:04.757,Transition
7.987,3.71,2026-01-12 00:36:04.862,Transition
8.09,3.71,2026-01-12 00:36:04.965,Transition
8.189,3.71,2026-01-12 00:36:05.064,Transition
8.289,3.71,2026-01-12 00:36:05.164,Transition
8.389,3.71,2026-01-12 00:36:05.264,Transition
8.488,3.71,2026-01-12 00:36:05.363,Transition
8.586,3.78,2026-01-12 00:36:05.461,Transition
8.689,3.71,2026-01-12 00:36:05.564,Transition
8.787,3.71,2026-01-12 00:36:05.662,Transition
8.886,3.71,2026-01-12 00:36:05.761,Transition
8.986,3.71,2026-01-12 00:36:05.861,Transition
9.086,3.71,2026-01-12 00:36:05.961,Transition
9.188,3.64,2026-01-12 00:36:06.063,Transition
9.287,3.71,2026-01-12 00:36:06.162,Transition
9.387,3.71,2026-01-12 00:36:06.262,Transition
9.487,3.71,2026-01-12 00:36:06.362,Transition
9.588,3.71,2026-01-12 00:36:06.463,Transition
9.689,3.14,2026-01-12 00:36:06.564,Transition
9.784,3.14,2026-01-12 00:36:06.659,Transition
9.887,3.14,2026-01-12 00:36:06.762,Transition
9.98,3.14,2026-01-12 00:36:06.855,Transition
10.086,3.14,2026-01-12 00:36:06.961,Transition
10.189,3.14,2026-01-12 00:36:07.064,Transition
10.287,3.14,2026-01-12 00:36:07.162,Transition
10.384,3.14,2026-01-12 00:36:07.259,Transition
10.488,3.14,2026-01-12 00:36:07.363,Transition
10.587,3.14,2026-01-12 00:36:07.462,Transition
10.686,3.14,2026-01-12 00:36:07.561,Transition
10.789,3.14,2026-01-12 00:36:07.664,Transition
10.887,3.14,2026-01-12 00:36:07.762,Transition
10.989,3.14,2026-01-12 00:36:07.864,Transition
11.087,3.14,2026-01-12 00:36:07.962,Transition
11.187,3.14,2026-01-12 00:36:08.062,Transition
11.287,3.14,2026-01-12 00:36:08.162,Transition
11.385,3.14,2026-01-12 00:36:08.260,Transition
11.487,3.14,2026-01-12 00:36:08.362,Transition
11.589,3.14,2026-01-12 00:36:08.464,Transition
11.689,3.14,2026-01-12 00:36:08.564,Transition
11.789,3.14,2026-01-12 00:36:08.664,Transition
11.889,3.14,2026-01-12 00:36:08.764,Transition
11.989,3.14,2026-01-12 00:36:08.864,Transition
12.088,3.14,2026-01-12 00:36:08.963,Transition
12.188,3.14,2026-01-12 00:36:09.063,Transition
12.288,3.14,2026-01-12 00:36:09.163,Transition
12.387,3.14,2026-01-12 00:36:09.262,Transition
12.489,3.14,2026-01-12 00:36:09.364,Transition
12.586,3.14,2026-01-12 00:36:09.461,Transition
12.686,3.14,2026-01-12 00:36:09.561,Transition
12.788,3.14,2026-01-12 00:36:09.663,Transition
12.887,3.14,2026-01-12 00:36:09.762,Transition
12.989,3.14,2026-01-12 00:36:09.864,Transition
13.081,3.14,2026-01-12 00:36:09.956,Transition
13.185,3.14,2026-01-12 00:36:10.060,Transition
13.287,3.14,2026-01-12 00:36:10.162,Transition
13.388,3.14,2026-01-12 00:36:10.263,Transition
13.488,3.14,2026-01-12 00:36:10.363,Transition
13.587,3.14,2026-01-12 00:36:10.462,Transition
13.686,3.14,2026-01-12 00:36:10.561,Transition
13.787,3.14,2026-01-12 00:36:10.662,Transition
13.888,3.14,2026-01-12 00:36:10.763,Transition
13.987,3.14,2026-01-12 00:36:10.862,Transition
14.086,3.14,2026-01-12 00:36:10.961,Transition
14.183,3.14,2026-01-12 00:36:11.058,Transition
14.285,3.14,2026-01-12 00:36:11.160,Transition
14.385,3.14,2026-01-12 00:36:11.260,Transition
14.486,3.14,2026-01-12 00:36:11.361,Transition
14.586,3.14,2026-01-12 00:36:11.461,Transition
14.689,3.14,2026-01-12 00:36:11.564,Transition
14.788,3.14,2026-01-12 00:36:11.663,Transition
14.885,3.14,2026-01-12 00:36:11.760,Transition
14.983,3.14,2026-01-12 00:36:11.858,Transition
15.086,3.14,2026-01-12 00:36:11.961,Transition
15.186,3.14,2026-01-12 00:36:12.061,Transition
15.286,3.14,2026-01-12 00:36:12.161,Transition
15.386,3.14,2026-01-12 00:36:12.261,Transition
15.487,3.14,2026-01-12 00:36:12.362,Transition
15.588,3.14,2026-01-12 00:36:12.463,Transition
15.688,3.14,2026-01-12 00:36:12.563,Transition
